confirmedCode;date;confirmedQuantity;confirmedTotalQuantity;nameCountry;nameDataset
Confirmed-000180;2020-06-12;109;10698;Argelia;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000181;2020-06-12;20;509;Mozambique;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000182;2020-06-12;30;1752;Mali;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000183;2020-06-12;43;4441;Yibuti;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000184;2020-06-12;23;472;Suazilandia;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000185;2020-06-12;71;1460;Guinea-Bisáu;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000186;2020-06-12;28;1321;Zambia;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000187;2020-06-12;90;3305;Kenia;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000188;2020-06-12;37;1240;Madagascar;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000189;2020-06-12;15;393;Libia;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000190;2020-06-12;44;8581;Marruecos;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000191;2020-06-12;92;4851;Senegal;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000192;2020-06-11;128;7007;Sudán;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000193;2020-06-11;2;894;Burkina Faso;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000194;2020-06-11;24;412;Benín;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000195;2020-06-11;1;163;Comoras;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000196;2020-06-11;54;4426;Guinea;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000197;2020-06-11;13;2057;República Centroafricana;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000198;2020-06-11;11;421;Liberia;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000199;2020-06-11;6;1093;Túnez;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000200;2020-06-11;41;1293;Zambia;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000201;2020-06-11;270;9013;Camerún;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000202;2020-06-11;498;10856;Ghana;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000203;2020-06-11;7;686;Uganda;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000204;2020-06-11;122;4637;República Democrática del Congo;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000205;2020-06-11;681;14554;Nigeria;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000206;2020-06-11;88;3463;Gabón;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000207;2020-06-11;23;1085;Sierra Leona;confirmed_cases_africa_ncov_2020-06-16
Confirmed-000208;2020-06-11;2;524;Togo;confirmed_cases_africa_ncov_2020-06-16
