DATE_INSERT;DATE_CASE;NEW_CASES;TOTAL_CASES;ID_UNISO_COUNTRY;COUNTRY_NAME;SOURCE;
"2020-05-06 20:11:06";"2020-05-06";"1";"3";"262";"DJIBOUTI";"https://twitter.com/MinSantedj/status/1258066521781342208/photo/1";
"2020-05-06 19:52:35";"2020-05-06";"1";"183";"504";"MOROCCO";"https://twitter.com/Ministere_Sante/status/1258073290813341714/photo/1";
"2020-05-06 19:48:18";"2020-05-06";"1";"2";"748";"ESWATINI";"https://twitter.com/EswatiniGovern1/status/1258084452972068869/photo/1";
"2020-05-06 17:52:27";"2020-05-06";"17";"469";"818";"EGYPT";"https://twitter.com/mohpegypt/status/1258060648166146048/photo/1";
"2020-05-06 17:38:22";"2020-05-06";"6";"476";"12";"ALGERIA";"https://www.observalgerie.com/coronavirus-en-algerie-159-nouveaux-cas-ce-mercredi-4997-au-total/2020/";
"2020-05-06 17:08:03";"2020-05-06";"1";"39";"706";"SOMALIA";"https://twitter.com/SomaliaCovid19/status/1258047520615391232";
"2020-05-06 15:29:28";"2020-05-06";"2";"26";"404";"KENYA";"https://twitter.com/MOH_Kenya/status/1258015781989896197";
"2020-05-06 15:17:53";"2020-05-06";"3";"14";"694";"SIERRA LEONE";"https://twitter.com/mohs_sl/status/1258016362636722176/photo/1";
"2020-05-06 12:36:40";"2020-05-06";"1";"182";"504";"MOROCCO";"https://twitter.com/Ministere_Sante/status/1257979740624912384";
"2020-05-07 00:41:21";"2020-05-05";"1";"4";"678";"SAO TOME";"https://www.lusa.pt/article/HWcv6vii0QjyzdySHLOVDTMSZM5iuSI1";
"2020-05-06 19:44:50";"2020-05-05";"1";"11";"324";"GUINEA";"https://twitter.com/anss_guinee/status/1258088970866606080/photo/1";
"2020-05-06 17:17:36";"2020-05-05";"4";"49";"729";"SUDAN";"https://twitter.com/SDN_Health/status/1258038329661992960/photo/1";
"2020-05-06 12:12:08";"2020-05-05";"1";"12";"686";"SENEGAL";"https://twitter.com/cousenegal/status/1257952844558348288/photo/1";
"2020-05-06 01:54:50";"2020-05-05";"1";"35";"180";"DRC";"https://mailchi.mp/4fb8930c0f9c/covid-19-bulletin-n-43-du-mardi-05-mai-3928461";
"2020-05-06 00:56:51";"2020-05-05";"5";"98";"566";"NIGERIA";"https://twitter.com/NCDCgov/status/1257803609032589314/photo/1";
"2020-05-05 23:51:40";"2020-05-05";"1";"2";"624";"GUINEA-B.";"https://www.lusa.pt/article/TYIG3ukZoLnfGlPUYCstxTMSZM5iuSI1";
"2020-05-05 22:40:58";"2020-05-05";"1";"38";"562";"NIGER";"https://twitter.com/Covid19Niger/status/1257762849973309440";
"2020-05-05 21:55:18";"2020-05-05";"1";"18";"384";"CIV";"https://twitter.com/Gouvci/status/1257759386715512834/photo/1";
"2020-05-05 21:46:50";"2020-05-05";"10";"148";"710";"SOUTH AFRICA";"https://twitter.com/DrZweliMkhize/status/1257757182583549953";
"2020-05-05 19:53:02";"2020-05-05";"1";"181";"504";"MOROCCO";"https://twitter.com/Ministere_Sante/status/1257704675316510725/photo/1";
"2020-05-05 19:47:48";"2020-05-05";"7";"17";"148";"CHAD";"https://twitter.com/Covid19TD/status/1257725508931985411/photo/1";
"2020-05-05 17:31:38";"2020-05-05";"16";"452";"818";"EGYPT";"https://twitter.com/mohpegypt/status/1257691291120476160/photo/1";
"2020-05-05 17:30:15";"2020-05-05";"5";"470";"12";"ALGERIA";"https://www.observalgerie.com/covid-19-en-algerie-190-nouvelles-contaminations-en-24-heures-4838-au-total/2020/";
"2020-05-05 17:23:29";"2020-05-05";"3";"32";"466";"MALI";"https://twitter.com/GouvernementM/status/1257652327424671744/photo/1";
"2020-05-05 16:55:14";"2020-05-05";"2";"11";"694";"SIERRA LEONE";"https://twitter.com/mohs_sl/status/1257665942970077185/photo/1";
"2020-05-05 16:53:24";"2020-05-05";"3";"38";"706";"SOMALIA";"https://twitter.com/SomaliaCovid19/status/1257681628211675138";
"2020-05-05 13:55:45";"2020-05-05";"1";"4";"894";"ZAMBIA";"https://twitter.com/ZMPublicHealth/status/1257632142118526982/photo/1";
"2020-05-05 12:32:47";"2020-05-05";"1";"4";"231";"ETHIOPIA";"https://twitter.com/FMoHealth/status/1257602965315043334/photo/2";
"2020-05-05 12:29:04";"2020-05-05";"1";"180";"504";"MOROCCO";"https://twitter.com/Ministere_Sante/status/1257613529303007232";
"2020-05-05 08:47:22";"2020-05-05";"1";"11";"686";"SENEGAL";"https://twitter.com/MinisteredelaS1/status/1257544154860716032/photo/1";
"2020-05-05 21:53:34";"2020-05-04";"1";"10";"324";"GUINEA";"https://twitter.com/anss_guinee/status/1257739158933643267/photo/1";
"2020-05-05 21:49:09";"2020-05-04";"2";"48";"854";"BURKINA";"https://twitter.com/burkina24/status/1257749333241475075";
